time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
30	0.1649572197684645	0.363696483726654	0.0	0.0	0.3589575980003019	A>B	phoneDialog580-phoneDialog549-condA
31	0.0	0.0	0.0	0.0	0.26384624888152186	B>A	phoneDialog580-phoneDialog549-condA
32	0.0	0.0	0.0	0.0	0.30051222787843446	A>B	phoneDialog580-phoneDialog549-condA
0	0.3061862178478973	0.1924500897298753	0.0	0.0	0.3324231699309512	A>B	phoneDialog850-phoneDialog501-condA
1	0.0	0.0	0.0	0.0		B>A	phoneDialog850-phoneDialog501-condA
2	0.242535625036333	0.22549380840084865	0.10101525445522107	0.1		A>B	phoneDialog850-phoneDialog501-condA
3	0.20211302086361083	0.2630761098009901	0.026997462357801948	0.05345224838248487	0.7136457768410837	B>A	phoneDialog850-phoneDialog501-condA
4	0.0	0.0	0.0	0.0	0.247548992224636	A>B	phoneDialog850-phoneDialog501-condA
5	0.0	0.0	0.0	0.0	0.22294802681074966	B>A	phoneDialog850-phoneDialog501-condA
6	0.0	0.0	0.0	0.0		A>B	phoneDialog850-phoneDialog501-condA
7	0.0	0.0	0.0	0.0		B>A	phoneDialog850-phoneDialog501-condA
8	0.0	0.0	0.0	0.0	0.42727604168204514	A>B	phoneDialog850-phoneDialog501-condA
9	0.0	0.0	0.0	0.0	0.47314939743474727	B>A	phoneDialog850-phoneDialog501-condA
10	0.3849001794597505	0.3903600291794132	0.05976143046671968	0.05976143046671968	0.6223041679373559	A>B	phoneDialog850-phoneDialog501-condA
11	0.2222222222222222	0.2857142857142857	0.0	0.03450327796711771	0.5755536258535199	B>A	phoneDialog850-phoneDialog501-condA
12	0.26352313834736496	0.2927700218845599	0.0	0.0	0.5098358741076372	A>B	phoneDialog850-phoneDialog501-condA
13	0.11180339887498948	0.11180339887498948	0.0	0.0	0.4077722502574078	B>A	phoneDialog850-phoneDialog501-condA
14	0.12824729401064425	0.2924488259328009	0.0	0.0	0.5702836592611878	A>B	phoneDialog850-phoneDialog501-condA
15	0.3769685174625259	0.4815801038177144	0.01316245316231641	0.05042729056592992	0.6521572199269192	B>A	phoneDialog850-phoneDialog501-condA
16	0.0	0.0	0.0	0.0		A>B	phoneDialog850-phoneDialog501-condA
17	0.26726124191242434	0.0	0.0	0.0		B>A	phoneDialog850-phoneDialog501-condA
18	0.16903085094570328	0.16903085094570328	0.0	0.0	0.0990378540753184	A>B	phoneDialog850-phoneDialog501-condA
19	0.0	0.0	0.0	0.0	0.12202377982511958	B>A	phoneDialog850-phoneDialog501-condA
20	0.0	0.0	0.0	0.0	0.37136593657201067	A>B	phoneDialog850-phoneDialog501-condA
21	0.0	0.0	0.0	0.0	0.3231187672165017	B>A	phoneDialog850-phoneDialog501-condA
22	0.0	0.15811388300841897	0.0	0.0		A>B	phoneDialog850-phoneDialog501-condA
23	0.0	0.0	0.0	0.0		B>A	phoneDialog850-phoneDialog501-condA
24	0.044721359549995794	0.31923475378704885	0.0	0.0	0.17936646404358025	A>B	phoneDialog850-phoneDialog501-condA
25	0.3233161507461904	0.41899561434550164	0.05114214254947678	0.04981354813867179	0.6637467351726082	B>A	phoneDialog850-phoneDialog501-condA
26	0.28167840351133566	0.4375565062966515	0.04716666306365783	0.04716666306365783	0.7203274560797962	A>B	phoneDialog850-phoneDialog501-condA
27	0.22517598751224047	0.284627226785928	0.0	0.0	0.24305023487181898	B>A	phoneDialog850-phoneDialog501-condA
28	0.0	0.11180339887498948	0.0	0.0	0.22785047768260958	A>B	phoneDialog850-phoneDialog501-condA
29	0.0	0.0	0.0	0.0	0.40677101277899186	B>A	phoneDialog850-phoneDialog501-condA
30	0.0	0.24999999999999994	0.0	0.0	0.5218267779928466	A>B	phoneDialog850-phoneDialog501-condA
31	0.0	0.10660035817780521	0.0	0.0	0.4736743965559398	B>A	phoneDialog850-phoneDialog501-condA
32	0.0	0.0	0.0	0.0	0.49604292017303786	A>B	phoneDialog850-phoneDialog501-condA
0	0.5266052374741441	0.6009524672755144	0.040345765480241574	0.039656043452190495	0.7233329607732576	A>B	phoneDialog65-phoneDialog780-condA
1	0.28924620366849013	0.5176971041016138	0.0	0.0265747001726367	0.5969112126873342	B>A	phoneDialog65-phoneDialog780-condA
2	0.21483446221182984	0.43610255268009285	0.017633640396464957	0.035267280792929914	0.6858998545958733	A>B	phoneDialog65-phoneDialog780-condA
3	0.46577323010716376	0.5119865322146744	0.011152493418636764	0.011152493418636764	0.7590964023485401	B>A	phoneDialog65-phoneDialog780-condA
4	0.2195285199793807	0.29034647452451906	0.0	0.0	0.6661448425947154	A>B	phoneDialog65-phoneDialog780-condA
5	0.10327955589886445	0.19845557534273353	0.0	0.030556616567607043	0.742872770145668	B>A	phoneDialog65-phoneDialog780-condA
6	0.06454972243679027	0.12403473458920847	0.07001400420140048	0.07001400420140048	0.40562325526350007	A>B	phoneDialog65-phoneDialog780-condA
7	0.1889822365046136	0.07905694150420949	0.0	0.0	0.4347220515973429	B>A	phoneDialog65-phoneDialog780-condA
8	0.1336306209562122	0.2608745973749755	0.0	0.0	0.614899683357877	A>B	phoneDialog65-phoneDialog780-condA
9	0.0	0.09622504486493764	0.0	0.0	0.598859201667062	B>A	phoneDialog65-phoneDialog780-condA
